id,pytanie,ilustracja,odpa,odpb,odpc
290,"Na paśmie 5 MHz w Polsce można nadawać maksymalną mocą 15 W EIRP, a zatem do dipola na to pasmo można doprowadzić moc około:",,"5 W","15 W","100 W, gdyż dipol ma ujemny zysk EIRP"
291,"Moc EIRP to moc  równoważna wyznaczana względem:  ",,"dipola półfalowego","źródła izotropowego","anteny rezerwowej"
292,"Jaka jest różnica pomiędzy efektywną mocą promieniowaną ERP, a EIRP?",,"EIRP jest większe o 2,15 dB od ERP","EIRP jest mniejsze o 2,15 dB od ERP","Nie ma różnicy"
293,"Mamy antenę kierunkową A o zysku 3 dBi i antenę kierunkową B o zysku 6 dBi. Do każdej z nich podano sygnał o mocy 100 W. Ile całkowitej mocy wypromieniowała każda antena?",,"A - 100 W, B - 100 W","A - 200 W, B - 400 W","A - 100 W, B - 200 W"
294,"Współczynnik tył/przód (F/B ratio) pewnej anteny kierunkowej wynosi 19 dB, a jej zysk 10,5 dBd. Czy w sytuacji awarii rotora antenowego lepiej będzie nadawać ""tyłem anteny"" korzystając z jej listka tylnego czy też przełączyć się na dipol półfalowy w tej samej polaryzacji? ",,"przełączyć się na dipol","pozostać przy antenie kierunkowej","to bez znaczenia dla nadawania"
295,"Poziomo powieszony dipol półfalowy promieniuje:",,"dookólnie","najmocniej w płaszczyźnie prostopadłej do osi zawieszenia dipola","najwięcej wzdłuż osi zawieszenia dipola"
296,"Zamierzasz zrobić łączność z kolegą znajdującym się we Włoszech przy pomocy dipola półfalowego na paśmie 20 m. W jakim kierunku najlepiej powiesić tę antenę?",,"na osi północ-południe","na osi wschód-zachód","nie użyję dipola, gdyż łączność będzie trudno nawiązać bez anteny kierunkowej Yagi-Uda"
297,"Linię symetryczną zawieszono w otwartej przestrzeni, podłączono do symetrycznego nadajnika i zakończono sztucznym obciążeniem. Czy wówczas linia promieniuje?",,"tak","nie","tak, jeśli jej długość przekracza 1/4 długości fali (jest linią długą)"
298,"Kabel koncentryczny po przytrzaśnięciu oknem uległ spłaszczeniu. Jak można go naprawić? ",,"należy zabezpieczyć uszkodzony fragment taśmą izolacyjną ","należy zastosować ekran miedziany na uszkodzonym fragmencie w celu zapobiegania wyciekowi w.cz ","ten fragment kabla nie nadaje się do użytku"
299,"Nadajnik połączono kablem koncentrycznym ze sztucznym obciążeniem. Prąd płynący w ekranie kabla koncentrycznego ma wartość:",,"zerową","niemożliwą do oszacowania","taką samą, jak prąd płynący w środkowej żyle"
300,"Pomiar SWR przy nadajniku wskazał wartość 1:1,5, ale mamy podejrzenie, że dopasowanie anteny jest niewłaściwe. Co może być przyczyną?",,"poziom zakłóceń lokalnych","tłumienie linii zasilającej","podejrzenie jest błędne, dopasowanie jest poprawne"
301,"Nadajnik został dołączony do anteny fiderem o całkowitym tłumieniu 5dB. Co wówczas zaobserwujemy:",,"stratę 50% mocy nadajnika, brak wpływu na odbiór","stratę 5% mocy nadajnika, zmianę SWR","stratę około 70% mocy nadajnika"
302,"Użycie baluna wskazane jest kiedy ",,"zasilamy antenę typu longwire kablem koncentrycznym ","zasilamy dipol półfalowy kablem koncentrycznym ","chcemy przetestować tłumienność linii symetrycznej"
303,"Włączenie tłumika w odbiorniku spowoduje:",,"poprawę odporności odbiornika na silne sygnały","poprawę stosunku sygnału do szumu na wejściu odbiornika","przestrojenie odbiornika"
304,"Dlaczego możliwe są dalekie łączności UKF między szczytami górskimi?",,"mniejsza gęstość atmosfery powoduje zminiejszenie tłumienia trasy ","anteny nadawcza i odbiorcza dzieli pusta przestrzeń ","brak pyłu zawieszonego zmniejsza dyfrakcję fali radiowej"
305,"Stabilne i ciągłe warunki łączności zapewnia w pasmach UKF:",,"łączność w zasięgu horyzontalnym","łączność troposferyczna","łączność przez odbicie od zorzy polarnej"
306,"Dlaczego podczas dnia trudno zrobić daleką łączność na paśmie 80 m:",,"z racji na brak propagacji w warstwie E","z racji na silne tłumienie w warstwie D","z racji na to, że anteny nie działają podczas dnia"
307,"Częstotliwość krytyczna w radiokomunikacji amatorskiej to:",,"początek i koniec każdego pasma amatorskiego","częstotliwość zarezerwowana do łączności niebezpieczeństwa","częstotliwość powyżej której fala nie podlega ugięciu w jonosferze w kierunku ziemi"
308,"Najlepsze długookresowe warunki propagacyjne występują:",,"zupełnie nieregularnie","co około 11 lat przy minimalnej aktywności słonecznej","co około 11 lat przy maksymalnej aktywności słonecznej"
309,"Wysoka aktywność słoneczna powoduje ",,"polepszenie propagacji w pasmach KF ","pogorszenie propagacji w pasmach KF ","nie ma wpływu na propagację fal radiowych"
310,"Częstotliwość MUF (Maximum Usable Frequency) określa się:",,"dla danej trasy łączności","dla danego nadajnika","dla każdego krótkofalowca"
311,"Aby nawiązać łączność na dalekie odległości na falach krótkich należy użyć:",,"anten o wysokim kącie promieniowania","anten o niskim kącie promieniowania","nadajnika o dużej mocy, antena i pasmo mogą być dowolne."
312,"Pewien krótkofalowiec zawsze kiedy wyjeżdżał na działkę pod Radomiem zawieszał w tym samym miejscu dipol półfalowy na wysokości 15 m nad poziomem gruntu. Niestety pewnego razu ze względu na uszkodzenie drabiny udało mu się powiesić go tylko na wysokości 3m. Zauważył że słyszy znacznie lepiej stacje polskie ale niestety przestał słyszeć stacje francuskie. Czym spowodowane było to zjawisko?",,"Spowodowane jest to zmianą kątów promieniowania anteny","Spowodowane jest to zmianą ogniskowej anteny","Wysokość zawieszenia nie miała wpływu na zaobserwowane zjawisko"
313,"Charakterystyczne okresowe zaniki sygnału na falach krótkich spowodowane są:",,"niewłaściwą pracą anteny","wielodrogową propagacją i zmianą tłumienia na trasie","utratą mocy nadajnika"
314,"Propagacja troposferyczna w paśmie UKF polega na:",,"wielokrotnym odbiciu fal pomiędzy troposferą i jonosferą","wielokrotnym odbiciu fal pomiędzy ziemią i troposferą","prowadzeniu fal przez dukty powstałe z warstw ciepłego i zimnego powietrza"
315,"Aby uzyskać możliwie najlepszy zasięg na falach ultrakrótkich należy:",,"użyć anteny promieniowania pionowego","zainstalować antenę nisko, by mieć jak najmniejsze zakłócenia","zainstalować antenę wysoko, by mieć jak najdalszy horyzont radiowy"
316,"Pewnego dnia krótkofalowiec w paśmie 50 MHz usłyszał stacje z południa Europy. Mogło się to zdarzyć:",,"zimą z racji na lokalne zanieczyszczenie powietrza","głównie latem, dzięki propagacji w warstwie sporadycznej E","latem z uwagi na mniejszą wilgotność powietrza"
317,"Pewnego dnia po wysokiej aktywności słonecznej pewien krótkofalowiec usłyszał w paśmie 144 MHz kilka mocno zniekształconych sygnałów dalekich stacji. z trudem odebrał wywołanie “CQ aurora” z czym miał do czynienia? ",,"rosyjskie zawody z okazji wybuchu rewolucji październikowej","łącznościami z wykorzystaniem zorzy polarnej ","łącznościami w odbicu od księżyca"
318,"Na których pasmach amatorskich można próbować łączności poprzez odbicie od zjonizowanych śladów meteorów:",,"na pasmach fal ultrakrótkich, np. 70 cm lub 2 m","na niskich pasmach fal krótkich, np. 80 m i 40 m","takie łączności są niemożliwe, meteory są zbyt małe, by odbijać fale radiowe"
319,"Skrót EME oznacza łączności z wykorzystaniem:",,"odbicia sygnału od Księżyca","odbicia sygnału od samolotu","odbicia sygnału od troposfery"
320,"Łączności EME można zrealizować:",,"na falach krótkich w paśmie 80 m","na falach ultrakrótkich przy pomocy anten kierunkowych","nie można, jest to zabronione"
321,"Silne trzaski obserwowane często na falach krótkich sa spowodowane:",,"przez odległe burze","przez pracę innych nadajników","przez niestabilność temperaturową generatora zadającego"
322,"Szumy własne odbiornika mają:",,"znaczenie na paśmie 80 m, by odebrać sygnał słabej stacji","znaczenie na falach ultrakrótkich i mikrofalach, gdyż szum atmosferyczny jest tam bardzo słaby","praktycznie żadne znaczenie, to jest tylko parametr handlowy"
323,"Co można zrobić, by nawiązać łączność w trudnych warunkach, gdy sygnał SSB jest bardzo słabo słyszalny wśród szumów:",,"użyć emisji FM","przejść na telegrafię lub emisje cyfrowe do słabych sygnałów","jeśli na SSB sygnał jest ledwo słyszalny, to nic nie można zrobić"
324,"Antena na pasmo 2m została dołączona popularnym kablem koncentrycznym RG-58 o długości 100m. Dlaczego krótkofalowiec nie uważa takiej instalacji za optymalną:",,"Z racji na duże straty mocy w linii zasilającej","Kabel RG-58 ma niewłaściwą impedancję","Z racji na to, że kabel ten był używany w instalacjach CB Radio"
325,"Stacja o mocy 100 W na paśmie 20 m jest odbierana z siłą sygnału S9. W przerwach emisji słychać także jej korespondenta o sile sygnału S4. Co się stanie jeśli stacja ta zmniejszy moc nadawania do 10 W:",,"nie usłyszymy jej w ogóle, 10 W to za mało na taką łączność","poprawi się jej modulacja","będziemy ją nadal słyszeć, być może z nieco większym szumem"
326,"Podczas prowadzenia łączności kierujemy się zasadą:",,"minimalnej mocy nadajnika, niezbędnej dla danej łączności","pracy z maksymalną mocą nadajnika","doboru mocy nadajnika do ograniczeń licencyjnych w kraju, z którym nawiązujemy łączność"
327,"Jak nazywa się przyrząd do pomiaru siły elektromotorycznej?",,"omomierz","woltomierz","amperomierz"
328,"Bocznik do pomiaru prądu powinien mieć:",,"maksymalną rezystancję","minimalną rezystancję","rezystancję dopasowaną do mierzonego prądu i parametrów ustroju pomiarowego"
329,"Do pomiaru napięcia, które przekracza zakres miernika, można użyć:",,"szeregowo włączonego rezystora","dzielnika napięcia","wszystkie odpowiedzi są poprawne"
330,"Multimetr na zakresie napięcia prądu przemiennego został dołączony do układu elektronicznego. Co może być przyczyną niewłaściwych odczytów (zbyt niskich lub zbyt wysokich)::",,"uziemienie woltomierza,","woltomierz jest przystosowany do częstotliwości 50Hz, a w obwodzie jest sygnał w.cz.","końcówki pomiarowe są niezgodne z normą HSE GS38"
331,"Kondensator elektrolityczny 10µF został naładowany do napięcia 10V i odłączony od zasilacza. Dołączony do jego końcówek woltomierz wskazuje systematyczny spadek napięcia. Co może być przyczyną tego spadku:",,"oporność wewnętrzna woltomierza","strata prądu na końcówkach zasilających","promieniowanie radioaktywne otoczenia"
332,"Częstotliwość rezonansową obwodu LC możemy zmierzyć za pomocą:",,"generatora kwarcowego oraz amperomierza","przyrządu GDO lub analizatora wektorowego","nadajnika dużej mocy, strojąc na maksimum dymu"
333,"Co pokazuje reflektometr dołączony między wyjście nadajnika a kabel antenowy?",,"dopasowanie linii zasilającej","rezonans anteny","dostrojenie nadajnika"
334,"Co można zmierzyć za pomocą analizatora widma:",,"Obecność i siłę sygnałów harmonicznych i niepożądanych w sygnale nadajnika","Czułość odbiornika na poszczególnych wycinkach widma radiowego","Dopasowanie anteny"
335,"Ręczny radiotelefon niskiej jakości został dołączony do zewnętrznej anteny i słyszalność stacji uległa znacznemu pogorszeniu. Jakie zjawisko może być tego przyczyną:",,"brak odpowiedniego przedwzmacniacza w.cz.","blokowanie odbiornika przez bardzo silne sygnały, także spoza pasm amatorskich","uszkodzenie odbiornika spowodowane sygnałem pobliskiego przemiennika w paśmie 2 m"
336,"Jakie zjawisko jest odpowiedzialne za zakłócenia słyszalne w radioodbiorniku jako dziwne dźwięki nałożone na sygnał stacji radiofonicznej FM:",,"intermodulacja w obwodach wejściowych odbiornika FM","rozstrajanie generatora zadającego w syntezerze w odbiorniku FM","detekcja sygnału SSB stacji amatorskiej we wzmacniaczu częstotliwości akustycznej odbiornika"
337,"Jeśli tranzystorowy wzmacniacz mocy nie posiada filtrów dolnoprzepustowych, to oznacza, że:",,"będzie zniekształcał sygnał wyjściowy na częstotliwości roboczej","będzie wprowadzał zakłócenia spowodowane przez nieodfiltrowane harmoniczne","ma optymalną konstrukcję"
338,"Odbiornik został uszkodzony przez silny sygnał z anteny, pochodzący z pracującego w bezpośredniej bliskości nadajnika dużej mocy. Przyczyną uszkodzenia mogło być:",,"wyindukowanie silnego sygnału w.cz. w antenie odbiorczej","złe dostrojenie nadajnika","przeniesienie sygnału w.cz. po kablu zasilającym przez złe zasilanie odbiornika"
339,"W zbudowanym wzmacniaczu m.cz. słychać dokuczliwe zakłócenia od pobliskich telefonów komórkowych. Co można zrobić, by te zakłócenia zmniejszyć:",,"nic nie można zrobić, zakłócenia już takie są","zaekranować stopień wejściowy tego wzmacniacza","zwiększyć napięcie zasilania, by stosunek sygnał/zakłócenia był korzystniejszy"
340,"Krótkofalowiec zbudował skrzynkę antenową, ale przy pracy z tą skrzynką obserwuje słabe świecenie nie zasilanej świetlówki, które nie występuje po odłączeniu skrzynki. Co może wykonać, by to zjawisko wyeliminować?",,"wprowadzić ekranowanie skrzynki, na przykład w postaci szczelnej, metalowej obudowy","poprawić dopasowanie stopnia końcowego","wymienić zasilacz sieciowy"
